product_id,name,category,price,currency,stock_quantity,sku,color,rating,in_stock,path,image_url
PRD-0001,Granite Loafers,Footwear,155.12,USD,224,SKU-FOO-001,Green,4.4,true,/products/product-detail/sku-foo-001,https://picsum.photos/seed/sku-foo-001/640/480
PRD-0002,Marina Cooler,Outdoor,143.50,USD,128,SKU-OUT-001,Navy,4.9,true,/products/product-detail/sku-out-001,https://picsum.photos/seed/sku-out-001/640/480
PRD-0003,Solstice Rain Boots,Footwear,31.32,USD,261,SKU-FOO-002,Beige,3.7,true,/products/product-detail/sku-foo-002,https://picsum.photos/seed/sku-foo-002/640/480
PRD-0004,Alpine Desk Lamp,Home,135.76,USD,16,SKU-HOM-001,Silver,4.6,true,/products/product-detail/sku-hom-001,https://picsum.photos/seed/sku-hom-001/640/480
PRD-0005,Flexfit Storage Bin,Home,181.77,USD,190,SKU-HOM-002,Natural,4.8,true,/products/product-detail/sku-hom-002,https://picsum.photos/seed/sku-hom-002/640/480
PRD-0006,Marina Bluetooth Speaker,Electronics,60.41,USD,12,SKU-ELE-001,Gray,3.8,true,/products/product-detail/sku-ele-001,https://picsum.photos/seed/sku-ele-001/640/480
PRD-0007,Voyager Fitness Tracker,Fitness,132.19,USD,28,SKU-FIT-001,Charcoal,4.1,true,/products/product-detail/sku-fit-001,https://picsum.photos/seed/sku-fit-001/640/480
PRD-0008,Cascade Tote Bag,Accessories,100.41,USD,61,SKU-ACC-001,Gray,4.4,true,/products/product-detail/sku-acc-001,https://picsum.photos/seed/sku-acc-001/640/480
PRD-0009,Vortex USB-C Cable,Electronics,159.46,USD,227,SKU-ELE-002,Navy,5.0,true,/products/product-detail/sku-ele-002,https://picsum.photos/seed/sku-ele-002/640/480
PRD-0010,Voyager Storage Bin,Home,128.18,USD,229,SKU-HOM-003,Natural,4.2,true,/products/product-detail/sku-hom-003,https://picsum.photos/seed/sku-hom-003/640/480
PRD-0011,Drift Backpack,Outdoor,78.19,USD,110,SKU-OUT-002,Gray,3.6,true,/products/product-detail/sku-out-002,https://picsum.photos/seed/sku-out-002/640/480
PRD-0012,Alpine Power Bank,Electronics,117.23,USD,76,SKU-ELE-003,White,4.2,true,/products/product-detail/sku-ele-003,https://picsum.photos/seed/sku-ele-003/640/480
PRD-0013,Ember Belt,Accessories,107.46,USD,185,SKU-ACC-002,Beige,4.8,true,/products/product-detail/sku-acc-002,https://picsum.photos/seed/sku-acc-002/640/480
PRD-0014,Voyager Tent,Outdoor,98.85,USD,302,SKU-OUT-003,Natural,3.7,true,/products/product-detail/sku-out-003,https://picsum.photos/seed/sku-out-003/640/480
PRD-0015,Alpine Hammock,Outdoor,112.46,USD,323,SKU-OUT-004,Maroon,4.4,true,/products/product-detail/sku-out-004,https://picsum.photos/seed/sku-out-004/640/480
PRD-0016,Coral Picture Frame,Home,53.80,USD,261,SKU-HOM-004,Gray,4.3,true,/products/product-detail/sku-hom-004,https://picsum.photos/seed/sku-hom-004/640/480
PRD-0017,Marina Sunglasses,Accessories,146.15,USD,204,SKU-ACC-003,Blue,4.7,true,/products/product-detail/sku-acc-003,https://picsum.photos/seed/sku-acc-003/640/480
PRD-0018,Drift Gym Bag,Fitness,128.91,USD,136,SKU-FIT-002,White,3.8,true,/products/product-detail/sku-fit-002,https://picsum.photos/seed/sku-fit-002/640/480
PRD-0019,Meridian Resistance Bands,Fitness,145.93,USD,26,SKU-FIT-003,Blue,4.1,true,/products/product-detail/sku-fit-003,https://picsum.photos/seed/sku-fit-003/640/480
PRD-0020,Quartz Keyboard,Electronics,8.82,USD,183,SKU-ELE-004,Red,4.9,true,/products/product-detail/sku-ele-004,https://picsum.photos/seed/sku-ele-004/640/480
PRD-0021,Voyager Yoga Mat,Fitness,150.32,USD,282,SKU-FIT-004,Silver,3.9,true,/products/product-detail/sku-fit-004,https://picsum.photos/seed/sku-fit-004/640/480
PRD-0022,Vortex Wallet,Accessories,172.61,USD,245,SKU-ACC-004,White,3.9,true,/products/product-detail/sku-acc-004,https://picsum.photos/seed/sku-acc-004/640/480
PRD-0023,Drift Sleeping Bag,Outdoor,60.63,USD,206,SKU-OUT-005,Beige,4.1,true,/products/product-detail/sku-out-005,https://picsum.photos/seed/sku-out-005/640/480
PRD-0024,Granite Keyboard,Electronics,160.45,USD,326,SKU-ELE-005,Black,4.5,true,/products/product-detail/sku-ele-005,https://picsum.photos/seed/sku-ele-005/640/480
PRD-0025,Voyager Mouse,Electronics,117.58,USD,86,SKU-ELE-006,Charcoal,3.7,true,/products/product-detail/sku-ele-006,https://picsum.photos/seed/sku-ele-006/640/480
PRD-0026,Drift Foam Roller,Fitness,90.32,USD,239,SKU-FIT-005,Beige,3.8,true,/products/product-detail/sku-fit-005,https://picsum.photos/seed/sku-fit-005/640/480
PRD-0027,Voyager Webcam,Electronics,143.04,USD,236,SKU-ELE-007,Natural,4.1,true,/products/product-detail/sku-ele-007,https://picsum.photos/seed/sku-ele-007/640/480
PRD-0028,Zenith Wallet,Accessories,159.61,USD,314,SKU-ACC-005,Charcoal,5.0,true,/products/product-detail/sku-acc-005,https://picsum.photos/seed/sku-acc-005/640/480
PRD-0029,Marina Rug,Home,81.64,USD,248,SKU-HOM-005,Silver,3.9,true,/products/product-detail/sku-hom-005,https://picsum.photos/seed/sku-hom-005/640/480
PRD-0030,Lumen Gym Bag,Fitness,81.85,USD,379,SKU-FIT-006,White,3.9,true,/products/product-detail/sku-fit-006,https://picsum.photos/seed/sku-fit-006/640/480
PRD-0031,Zenith Rug,Home,87.44,USD,97,SKU-HOM-006,White,4.4,true,/products/product-detail/sku-hom-006,https://picsum.photos/seed/sku-hom-006/640/480
PRD-0032,Lumen Rug,Home,18.34,USD,202,SKU-HOM-007,Gray,4.1,true,/products/product-detail/sku-hom-007,https://picsum.photos/seed/sku-hom-007/640/480
PRD-0033,Fable Wireless Earbuds,Electronics,155.63,USD,321,SKU-ELE-008,Gray,3.9,true,/products/product-detail/sku-ele-008,https://picsum.photos/seed/sku-ele-008/640/480
PRD-0034,Terra Sunglasses,Accessories,79.81,USD,202,SKU-ACC-006,White,3.5,true,/products/product-detail/sku-acc-006,https://picsum.photos/seed/sku-acc-006/640/480
PRD-0035,Nimbus Belt,Accessories,79.17,USD,65,SKU-ACC-007,Gray,4.4,true,/products/product-detail/sku-acc-007,https://picsum.photos/seed/sku-acc-007/640/480
PRD-0036,Fable Smartwatch Band,Electronics,153.12,USD,28,SKU-ELE-009,Green,4.0,true,/products/product-detail/sku-ele-009,https://picsum.photos/seed/sku-ele-009/640/480
PRD-0037,Pulse Trekking Poles,Outdoor,120.48,USD,194,SKU-OUT-006,Gray,3.6,true,/products/product-detail/sku-out-006,https://picsum.photos/seed/sku-out-006/640/480
PRD-0038,Fable Mouse,Electronics,52.89,USD,205,SKU-ELE-010,Olive,4.7,true,/products/product-detail/sku-ele-010,https://picsum.photos/seed/sku-ele-010/640/480
